Altnernative codes,BLEED_code,Collection_no,Gene Bank Accession,Genus,HTS Queue,ID confirmed,Identified by,Isolated,Material left,NHM,note,Paper,Preservation,Recieved in Oslo,Scraped,SEM info,Sent by,Sequences Recieved,Species,Bock2018::Author,Bock2018::Full,Sample.Location.Date::Coll_date,Sample.Location.Date::Collection_no,Sample.Location.Date::Collector,Sample.Location.Date::Country,Sample.Location.Date::Cruise details,Sample.Location.Date::Day,Sample.Location.Date::Depth 1,Sample.Location.Date::Depth 2,Sample.Location.Date::Location details,Sample.Location.Date::Month,Sample.Location.Date::Place,Sample.Location.Date::Standardized Lat,Sample.Location.Date::Standardized Long,Sample.Location.Date::Station_id,Sample.Location.Date::Year,Worms::Family,Worms::Order
,167,NIWA 103458,MW173711	MW159939,Cellaria,13.12.2018 (RJSO),,DPG,14.2.2018 (LT),,NHMO H1523,"NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,29.11.2017 (LHL),"MHR.6029.BLEED.167.tif
MHR.6030.BLEED.167.tif
MHR.6077.BLEED.167.tif
MHR.6077.BLEED.167.txt
MHR.6078.BLEED.167.tif
MHR.6078.BLEED.167.txt
MHR.6029.BLEED.167.tif
MHR.6030.BLEED.167.tif",Sadie Mills,6.2.2019 (RJSO),immersa,"(Tenison Woods, 1880)","Cellaria immersa (Tenison Woods, 1880)",30/03/2015,NIWA 103458,NIWA,NZ,West Coast Inshore Trawl Survey,3,51,53,,3,,-40.715,173.457,KAH1503/8,2015,Cellariidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Tenison-Woods, 1880)","Cellaria immersa (Tenison-Woods, 1880)",,,,,,,,,,,,,,,,,
,168,NIWA 95862,MW134875	MW173729	MW159940,Cornucopina,5.1.2018 (RJSO),,DPG,14.2.2018 (LT),,NHMO H1524,"
NIWA Donation 2015-027D 
03/07/2015

Mali is doing SEM",,100% ethanol,4.8.2015,29.11.2017 (LHL),"MHR.3955.BLEED.168.tif
MHR.3955.BLEED.168.txt
MHR.3956.BLEED.168.tif
MHR.3956.BLEED.168.txt
",Sadie Mills,27.1.2018 (RJSO),n.sp.,,,28/11/2013,NIWA 95862,NIWA,NZ,OS2020- Southern Colville Ridge VES14304,28,1420,1270,,11,,-34.77,177.712,TAN1313/DR3,2013,Bugulidae,Cheilostomatida
,169,NIWA 92790,,Jellyella,28.10.2019 (RJSO),,DPG,14.2.2018 (LT)  24.10.2019 (RJSO),No,,"NIWA Donation 2015-027D 
03/07/2015

No Bryozoan identified in Hiseq assembly

24.10.2019 (RJSO) Qubit 4.82",,100% ethanol,4.8.2015,29.11.2017 (LHL)  18.10.2019 (EDM),,Sadie Mills,27.1.2018 (RJSO) 18.12.2019 (RJSO),eburnea,"(Hincks, 1891)","Jellyella eburnea (Hincks, 1891)",13/10/2013,NIWA 92790,NIWA,NZ,Vulnerable Deep-sea,13,6071,,Tonga Trench,10,,,,YOK1310/1369,2013,Membraniporidae,Cheilostomatida
,170,NIWA 55263,"MT311355, MT311497, MT293101, MT293107, MT293119",Stephanollona,8.5.2019 (MMS),,DPG,25.10.2018 (MMS),None,NHMO H 1487,"Standard DNA isolation failed (LT)

NIWA Donation 2015-027D 
03/07/2015

25.10.2018 (MMS): MMS said ""Veldig liten prøve""",,100% ethanol,4.8.2015,21.11.17 (LT) 16.8.2018 (MMS),"MHR.1249.BLEED.170.tif
MHR.1249.BLEED.170.txt
MHR.1250.BLEED.170.tif
MHR.1250.BLEED.170.txt",Sadie Mills,6.6.19  (MMS+ RJSO),scintillans,"(Hincks, 1885)","Stephanollona scintillans (Hincks, 1885)",08/07/2009,NIWA 55263,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,8,105,108,"Site Z26, Bay of Islands",7,,,,TAN0906/65,2009,Phidoloporidae,Cheilostomatida
,171,NIWA 56465,,Macropora,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015

WANTED BY AW: removed from BLEED collection",,100% ethanol,4.8.2015,,,Sadie Mills,,grandis,"(Hutton, 1873)","Macropora grandis (Hutton, 1873)",14/07/2009,NIWA 56465,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,91,88,"Site Z2, North Cape",7,,,,TAN0906/152,2009,Macroporidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Hutton, 1873)","Macropora grandis (Hutton, 1873)",,,,,,,,,,,,,,,,,
,172,NIWA 72456,,Columnella,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015

WANTED BY AW: removed from BLEED collection",,100% ethanol,4.8.2015,,,Sadie Mills,,magna,"(Busk, 1884)","Columnella magna (Busk, 1884)",09/03/2011,NIWA 72456,NIWA,NZ,NZASMS - New Zealand American Sentry Mineralization Survey,9,1180,1306,ES21. Rumble II West chimney field,3,,,,TAN1104/48,2011,Farciminariidae,Cheilostomatida
,173,NIWA 56465,,Bitectipora,,,DPG,,,,"NIWA Donation 2015-027D 
03/07/2015
ready for DNA isolation and SEM 23.1.18

too little DNA isolated for HiSeq
",,100% ethanol,4.8.2015,23.1.2018 (RJSO),,Sadie Mills,,rostrata,"(MacGillivray, 1887)","Bitectipora rostrata (MacGillivray, 1887)",14/07/2009,NIWA 56465,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,91,88,"Site Z2, North Cape",7,,,,TAN0906/152,2009,Bitectiporidae,Cheilostomatida
,174,NIWA 102526,,Haswelliporina,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015

WANTED BY AW: removed from BLEED collection",,100% ethanol,4.8.2015,,,Sadie Mills,,,,,11/04/2015,NIWA 102526,NIWA,NZ,Graveyard and Andes Seamounts Voyage,11,889,1040,"Rachel Seamount, Andes Seamounts",4,NZ,,,TAN1503/118,2015,Porinidae,Cheilostomatida
,175,NIWA 102526,,Cornucopina,,,DPG,4.5.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015


EDM: not found",,100% ethanol,4.8.2015,13.2.2018 (RSJO),"MHR.145.BLEED.175	
MHR.146.BLEED.175	",Sadie Mills,,salutans,"Gordon, 1986","CORNUCOPINA SALUTANS Gordon, 1986",11/04/2015,NIWA 102526,NIWA,NZ,Graveyard and Andes Seamounts Voyage,11,889,1040,"Rachel Seamount, Andes Seamounts",4,NZ,,,TAN1503/118,2015,Bugulidae,Cheilostomatida
,176,NIWA 54537,,Micropora,,,DPG,,Yes,,"NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,,,Sadie Mills,,sp.,,,04/07/2009,NIWA 54537,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,4,66,64,"Site Z12, Bay of Islands",7,,,,TAN0906/3,2009,Microporidae,Cheilostomatida
,177,NIWA 55263,MW134835	MW173693	MW159942,Arthropoma,5.1.2018 (RJSO),,DPG,14.2.2018 (LT),None,NHMO H1525,"NIWA Donation 2015-027D 
03/07/2015

LHL 29.11.17 Tissue Extraction, took all but checked with online SEMs, large and distinctive; nothing left

No physical voucher left after SEM

SEM shows Catenacellid Use BLEED 314 same species same sample as voucher",,100% ethanol,4.8.2015,29.11.2017 (LHL),"MHR.1255.BLEED.177.tif
MHR.1255.BLEED.177.txt
MHR.1256.BLEED.177.tif
MHR.1256.BLEED.177.txt",Sadie Mills,27.1.2018 (RJSO),cecilii,"(Audouin in Savigny, 1826)","Arthropoma cecilii (Audouin in Savigny, 1826)",08/07/2009,NIWA 55263,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,8,105,108,"Site Z26, Bay of Islands",7,,,,TAN0906/65,2009,Lacernidae,Cheilostomatida
,178,NIWA 54560,,Hincksina,9.5.2018 (RJSO),,DPG,4.5.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015
NIWA Donation 2015-010D
09/03/2015
(same species from same collection sent twice)
DNA extraction failed (MH)


Dennis email 14.1.2020: Hincksina sp(p.?) BLEED 61, 178: Several years ago, Kevin Tilbrook initiated a small project to clarify the status of the various Gregarinidra (Flustridae) species in Australasia. We collaborated and exchanged SEMs, some obtained by Kevin from Mary Spencer Jones. In 2013 Kevin wrote a draft ms (Tilbrook & Gordon) in which he distinguished six Australian species of Gregarinidra sensu lato [ G. denticulata (Busk, 1852), G. inermis (Busk, 1852),  G. quadricornis (MacGillivray, 1860), G. serrata (MacGillivray, 1869), with two more, inarmata Hincks, 1881 and a new species, separated as a new genus.] He also discriminated three New Zealand species, all new – one from the Kermadec Ridge, one from Fiordland and another from Cook Strait (but widespread). Complicating things is the fact that Phil Bock (BHP, WoRMS) attributes two of the Australian species (denticulata, inermis) to the European genus Hincksinoflustra Prenant & Bobin, 1961 and Bjorn Berning (in correspondence) synonymises Gregarinidra Barroso, 1949 with Hincksina Norman, 1949! We have done nothing with the ms since, hoping that Bjorn would write a definitive ms convincing us of the synonymy of the European type species of Hincksina  and Gregarinidra [not to mention Hincksinoflustra], and gene sequencing would no doubt help. There is somewhat of an impasse here. Nothing has been done on our ms since; Kevin got sidelined from science and I have been sidelined by numerous other projects",,100% ethanol,9.3.2015,10.4.2018 (RJSO),"MHR.011, MHR.012, MHR.027.MHR.028",Sadie Mills,20.8.2018 (MMS and RJSO),sp.,,,04/07/2009,NIWA 54560,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,4,111,111,"Site Z20, Bay of Islands",7,Bay of Islands,-35.473,174.678,TAN0906/8,2009,Flustridae,Cheilostomatida
,179,NIWA 39690,MW134907	MW173754	MW159943,Figularia,15.2.2018 (RJSO),,DPG,14.2.2018 (LT),,NHMO H1526,"NIWA Donation 2015-027D 
03/07/2015


10.12.2019 EDM Some chiastosella in the mix
",,100% ethanol,4.8.2015,22.1.2018 (RJSO),"LHL.038, LHL.039, LHL.040
MHR.6047.BLEED.179.tif
MHR.6048.BLEED.179.tif",Sadie Mills,24.5.2018 (RJSO),mernae,"Uttley & Bullivant, 1972","FIGULARIA MERNAE Uttley & Bullivant, 1972",09/04/2008,NIWA 39690,NIWA,NZ,Seamount,9,350,560,Seamount 6 Macquarie Ridge. Australian EEZ,4,Seamount,-52.487,160.415,TAN0803/63,2008,Cribrilinidae,Cheilostomatida
TAN 1503/116,180,NIWA 102491,"MG977048
MG977065
MG977080
MG977084
MG977097
MG977117
MW159944
MW173698",Bitectipora,,,DPG,,,EE paper,"NIWA Donation 2015-027D 
03/07/2015
",,100% ethanol,4.8.2015,,"LHL.108, LHL.109, LHL.110, LHL.111, LHL.112

MHR.797.BLEED.180.tif
MHR.816.BLEED.180.tif
MHR.865.BLEED.180.tif
MHR.865.BLEED.180.txt
MHR.866.BLEED.180.tif
MHR.866.BLEED.180.txt",Sadie Mills,31.5.2017 (MH),retepora,"(Gordon, 1989)","Bitectipora retepora (Gordon, 1989)",11/04/2015,NIWA 102491,NIWA,NZ,Graveyard and Andes Seamounts Voyage,11,497,590,"Iceberg Seamount (S transect), Andes Seamounts",4,,-44.16,-174.555,TAN1503/116,2015,Bitectiporidae,Cheilostomatida
TAN0906/159,181,NIWA 56624,MW134974	MW173818	MW159945,Pterocella,5.1.2018 (RJSO),,DPG,,,NHMO H1527,"NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,21.11.17 (LT),"MHR.6027.BLEED.181.tif
MHR.6028.BLEED.181.tif
MHR.6027.BLEED.181.tif
MHR.6028.BLEED.181.tif",Sadie Mills,27.1.2018 (RJSO),vesiculosa,"(Lamarck, 1816)","Pterocella vesiculosa (Lamarck, 1816)",14/07/2009,NIWA 56624,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,59,59,"Site Z4, North Cape",7,,-34.388,-34.39,TAN0906/159,2009,Catenicellidae,Cheilostomatida
,182,NIWA 56907,,Aimulosia,,,DPG,14.2.2018 (LT),,,"too little DNA isolated for HiSeq

NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,29.11.2017 (LHL),,Sadie Mills,,marsupium,"(MacGillivray, 1869)","Aimulosia marsupium (MacGillivray, 1869)",15/07/2009,NIWA 56907,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,15,68,71,"Site Z5, Bay of Islands",7,,,,TAN0906/166,2009,Buffonellodidae,Cheilostomatida
,183,NIWA 56548,"MT311320, MT311465, MT293114, MT293115",Arachnopusia,13.12.2018 (RJSO),DPG,DPG,25.10.2018 (MMS),None,NHMO H 1461,"NIWA Donation 2015-027D 
03/07/2015
DNA extraction failed (MH)

DPG original identification is Arachnopusia perforata

Dennis email 14.1.2020: The illustrated specimen is puzzling. I immediately thought A. perforata because this species tends to have its perforations in sectors, which is not typically the case in A. unicornis [but see BLEED 221 images]. However, the distal rim of the orifice in perforata [assuming that I correctly identified it in the first place – I have never seen an SEM of Maplestone’s material] bears avicularia, which is not the case in this specimen. But I think you have sequenced unicornis previously, so it’s worth comparing the sequences. Arachnopusia species in New Zealand can be so variable morphologically I have often wondered how many species I am actually dealing with.",,100% ethanol,4.8.2015,15.8.2018 (RJSO),"MHR.1103.BLEED.183.tif
MHR.1103.BLEED.183.txt
MHR.1104.BLEED.183.tif
MHR.1104.BLEED.183.txt
MHR.1141.BLEED.183.tif
MHR.1141.BLEED.183.txt
MHR.1142.BLEED.183.tif
MHR.1142.BLEED.183.txt",Sadie Mills,6.2.2019 (RJSO),unicornis,"(Hutton, 1873)","Arachnopusia unicornis (Hutton, 1873)",14/07/2009,NIWA 56548,NIWA,NZ,Oceans Survey 2020,14,72,61,"Site Z1, North Cape",7,,-34.374,172.923,TAN0906/154,2009,Arachnopusiidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Hutton, 1873)","Arachnopusia unicornis (Hutton, 1873)",,,,,,,,,,,,,,,,,
,184,NIWA 56317,,Inversiula,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015

WANTED BY AW: removed from BLEED collection",,100% ethanol,4.8.2015,,,Sadie Mills,,fertilis,"Powell, 1967","INVERSIULA FERTILIS Powell, 1967",13/07/2009,NIWA 56317,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,13,77,72,"Site A16, Bay of Islands",7,,-34.707,173.31,TAN0906/143,2009,Inversiulidae,Cheilostomatida
,185,NIWA 56548,,Steginoporella,,,DPG,04.07.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015
DNA extraction failed (MH)


Qubit. 9.31",,100% ethanol,4.8.2015,9.4.2018 (RJSO),"MHR.229.BLEED.185	
MHR.230.BLEED.185	
MHR.273.BLEED.185
MHR.274.BLEED.185",Sadie Mills,,perplexa,"(Livingstone, 1929)","Steginoporella perplexa (Livingstone, 1929)",14/07/2009,NIWA 56548,NIWA,NZ,Oceans Survey 2020,14,72,61,"Site Z1, North Cape",7,,-34.374,172.923,TAN0906/154,2009,Steginoporellidae,Cheilostomatida
,186,NIWA 56556,,Parasmittina,,,DPG,14.2.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,29.11.2017 (LHL),,Sadie Mills,,delicatula,"(Busk, 1884)","Parasmittina delicatula (Busk, 1884)",14/07/2009,NIWA 56556,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,72,61,"Site Z1, North Cape",7,,,,TAN0906/154,2009,Smittinidae,Cheilostomatida
,187,NIWA 56317,MW134932	MW173778	MW159947,Micropora,9.5.2018 (RJSO),,DPG,4.5.2018 (LT),,NHMO H1528,"NIWA Donation 2015-027D 
03/07/2015

originally cf mortenseni (DPG)",,100% ethanol,4.8.2015,11.4.2018 (RJSO),"MHR.141.BLEED.187	
MHR.142.BLEED.187	
MHR.193.BLEED.187	
MHR.194.BLEED.187	
MHR.6093.BLEED.187.tif
MHR.6093.BLEED.187.txt
MHR.6094.BLEED.187.tif
MHR.6094.BLEED.187.txt",Sadie Mills,20.8.2018 (MMS and RJSO),n. sp. 2,,,13/07/2009,NIWA 56317,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,13,77,72,"Site A16, Bay of Islands",7,,-34.707,173.31,TAN0906/143,2009,Microporidae,Cheilostomatida
TAN 1116/1,188,NIWA 93566,,"Odontionella
",,,DPG,14.2.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015
(multiple)",,100% ethanol,4.8.2015,18.1.2018,,Sadie Mills,,cyclops,"(Busk, 1854)","Odontionella cyclops (Busk, 1854)",03/11/2011,NIWA 93566,NIWA,NZ,Fisheries Oceanography II,3,440,441,Chatham Rise,11,,,,TAN1116/1,2011,Foveolariidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Busk, 1854)","Odontionella cyclops (Busk, 1854)",,,,,,,,,,,,,,,,,
TAN 0906/159,189,NIWA 56624,MW134841	MW173699	MW159948,Buffonellaria,28.6.2018 (RJSO + MMS),,DPG,26.6.2018 (RJSO + MMS),,NHMO H1529,"NIWA Donation 2015-027D 
03/07/2015

Qubit=9.93",,100% ethanol,4.8.2015,9.4.2018 (RJSO),"MHR.107.BLEED.189
MHR.108.BLEED.189
MHR.6145.BLEED.189.tif
MHR.6145.BLEED.189.txt
MHR.6146.BLEED.189.tif
MHR.6146.BLEED.189.txt

MHR.6165.BLEED.189.tif
MHR.6165.BLEED.189.txt
MHR.6166.BLEED.189.tif
MHR.6166.BLEED.189.txt",Sadie Mills,15.10.18 (RJSO),biavicularis,"(Powell, 1967)","Buffonellaria biavicularis (Powell, 1967)",14/07/2009,NIWA 56624,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,59,59,"Site Z4, North Cape",7,,-34.388,-34.39,TAN0906/159,2009,Celleporidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Powell, 1967)","Buffonellaria biavicularis (Powell, 1967)",,,,,,,,,,,,,,,,,
TAN 0905/41,190,NIWA 53160,"MZ67782MZ678224,OK245092",UNKNOWN_SEQ_BLEED190,9.5.2018 (RJSO),,,4.5.2018 (LT),,,"NIWA Donation 2015-027D 
03/07/2015

Nordgaardia  cornucopioides original DPG ID
catenecellid also sequenced  no voucher 
UNKNOWN_BLEED190_NoVou ",Orr et al. Fall 2021 MS,100% ethanol,4.8.2015,10.4.2018 (RJSO),"MHR.175.BLEED.190	
MHR.176.BLEED.190	",Sadie Mills,20.8.2018 (MMS and RJSO),,,,17/06/2009,NIWA 53160,NIWA,NZ,Seamounts Graveyard and Andes,17,1020,1125,Voodoo seamount,6,Seamount,-42.745,-179.924,TAN0905/41,2009,,
,191,NIWA 73196,MW134958	MW173801	MW159949,"Parasmittina
",5.1.2018 (RSJO),,DPG,14.2.2018 (LT),,NHMO H1530,"NIWA Donation 2015-027D 
03/07/2015",,100% ethanol,4.8.2015,29.11.2017 (LHL),"MHR.6031.BLEED.191.tif
MHR.6032.BLEED.191.tif
MHR.6087.BLEED.191.tif
MHR.6087.BLEED.191.txt
MHR.6088.BLEED.191.tif
MHR.6088.BLEED.191.txt",Sadie Mills,27.1.2018 (RJSO),delicatula,"(Busk, 1884)","Parasmittina delicatula (Busk, 1884)",28/03/2011,NIWA 73196,NIWA,NZ,Biogenic habitats on the Northern New Zealand continental shelf,28,96,92,,3,Middlesex Bank,-33.966,171.772,TAN1105/42,2011,Smittinidae,Cheilostomatida
,192,NIWA 102491,MW134934	MW173780	MW159950,Micropora,5.1.2018 (RJSO),,DPG,14.2.2018 (LT),None,NHMO H1531,"NIWA Donation 2015-027D 
03/07/2015
",,100% ethanol,4.8.2015,29.11.2017 (LHL),"MHR.399.BLEED.192.tif\
MHR.400.BLEED.192.tif\",Sadie Mills,27.1.2018 (RJSO),n. sp. 4,,,11/04/2015,NIWA 102491,NIWA,NZ,Graveyard and Andes Seamounts Voyage,11,497,590,"Iceberg Seamount (S transect), Andes Seamounts",4,,-44.16,-174.555,TAN1503/116,2015,Microporidae,Cheilostomatida
,193,NIWA 56624,,Reciprocus,,,DPG,,None,,"NIWA Donation 2015-027D 
03/07/2015

WANTED BY AW: removed from BLEED collection",,100% ethanol,4.8.2015,,,Sadie Mills,,regalis,"Gordon, 1988","RECIPROCUS REGALIS Gordon, 1988",14/07/2009,NIWA 56624,NIWA,NZ,Oceans Survey 20/20 Bay of Islands,14,59,59,"Site Z4, North Cape",7,,-34.388,-34.39,TAN0906/159,2009,Urceoliporidae,Cheilostomatida
TAN1007/56,194,NIWA 64553,"MT311356, MT311498, MT293121",Terminocella,5.1.2018 (RJSO),,,,None,NHMO H 1488,,,100% ethanol,,21.11.17 (LT),"MHR.339.BLEED.194	
MHR.340.BLEED.194	
edm8063_BLEED194.tif
edm8064_BLEED194.tif
edm8065_BLEED194.tif
edm8066_BLEED194.tif
edm8067_BLEED194.tif
edm8068_BLEED194.tif
edm8069_BLEED194.tif
edm8070_BLEED194.tif
edm8071_BLEED194.tif
edm8072_BLEED194.tif
edm8073_BLEED194.tif
edm8074_BLEED194.tif
edm8075_BLEED194.tif
edm8076_BLEED194.tif",,27.1.2018 (RJSO),n.sp.,,,02/06/2010,NIWA 64553,,NZ,KARMA  2,2,1270,1267,Rumble II West seamount,6,Rumble II West seamount,,,TAN1007/56,2010,Catenicellidae,Cheilostomatida
,195A,NIWA 81830,MW135001	MW173838	MW159952,Valdemunitella,15.2.2018 (RJSO),,DPG + EDM,14.2.2018 (LT),,NHMO H1532,"NIWA Donation 2015-027D 
03/07/2015

SEM shows three separate species!!!!!  

EDM says Hippomenella vellicata, Figularia huttoni and two small ancestrulae of Escharella spinosissima

Mali: ""195 Er en Escharella, men tror det kan være vanskelig å få ned til art pga ung koloni, men kan jo prøve å få en ID""


BLEED 195 Nou Vou",,100% ethanol,4.8.2015,22.1.2018 (RJSO),"LHL.055, LHL.056, LHL.057, LHL.058

MHR.6049.BLEED.195.tif
MHR.6050.BLEED.195.tif
MHR.6067.BLEED.195.tif
MHR.6067.BLEED.195.txt
MHR.6068.BLEED.195.tif
MHR.6068.BLEED.195.txt",Sadie Mills,24.5.2018 (RJSO),huttoni ,,,03/05/2012,NIWA 81830,NIWA,NZ,East Coast Inshore Trawl Survey - INT201101,3,85,83,"East Coast, South Island",5,,-43.517,173.674,KAH1207/23,2012,Calloporidae,Cheilostomatida
,196,SSBLEED17,"MT311332, MT311476, MT293080",Emma,9.5.2018 (RJSO),,,4.5.2018 (LT),,NHMO H 1470,,,100% ethanol,,11.4.2018 (RJSO),"MHR.103.BLEED.196
MHR.104.BLEED.196",,20.8.2018 (RJSO),tricellata,"Busk, 1852","EMMA TRICELLATA Busk, 1852",15/05/2015,SSBLEED17,Dennis Gordon,New Zealand,,15,0,,,5,"Orui, Wairarapa",,,,2015,Candidae,Cheilostomatida
,197,SSBLEED17,,Beania,,,,4.5.2018 (LT),,,"no unbleached SEM, they didn't make it- Mali",,100% ethanol,,11.4.2018 (RJSO),"MHR.015, MHR.016",,,elongata,"(Hincks, 1885)","Beania elongata (Hincks, 1885)",15/05/2015,SSBLEED17,Dennis Gordon,New Zealand,,15,0,,,5,"Orui, Wairarapa",,,,2015,Beaniidae,Cheilostomatida
,198,SSBLEED17,,Aimulosia,,,,,,,,,100% ethanol,,,,,,marsupium,"(MacGillivray, 1869)","Aimulosia marsupium (MacGillivray, 1869)",15/05/2015,SSBLEED17,Dennis Gordon,New Zealand,,15,0,,,5,"Orui, Wairarapa",,,,2015,Buffonellodidae,Cheilostomatida
,199,SSBLEED18,MW159953,Cornuticella,,,,,,NHMO H1533,,,100% ethanol,,,"LHL.083, LHL.084, LHL.085

MHR.806.BLEED.199.tif
MHR.806.BLEED.199.txt
MHR.807.BLEED.199.tif
MHR.807.BLEED.199.txt",,31.5.2017 (MH),taurina,"(Busk, 1852)","Cornuticella taurina (Busk, 1852)",20/05/2015,SSBLEED18,Dennis Gordon,New Zealand,,20,0,1,,5,"Orui,Wairarapa",-41.071,176.089,,2015,Catenicellidae,Cheilostomatida
,200,SSBLEED18,MW134863	MW173716	MW159954,Chaperia,15.2.2018 (RJSO),,DPG + EDM,14.2.2018 (LT),,NHMO H1534,,,100% ethanol,,18.1.2018,"MHR.605.BLEED.200.tif
MHR.606.BLEED.200.tif
MHR.557.BLEED.200.tif
MHR.558.BLEED.200.tif
MHR.6091.BLEED.200.tif
MHR.6091.BLEED.200.txt
MHR.6092.BLEED.200.tif
MHR.6092.BLEED.200.txt",,24.5.2018 (RJSO),n. sp. 1,,,20/05/2015,SSBLEED18,Dennis Gordon,New Zealand,,20,0,1,,5,"Orui,Wairarapa",-41.071,176.089,,2015,Chaperiidae,Cheilostomatida
,201,SSBLEED18,"MG977030
MG977050
MG977067
MG977087
MG977100
MG977120
MW159955
MW173795",Orthoscuticella,,,,,,NHMO H1535,in Zool Sys paper,,100% ethanol,,,"LHL.095, LHL.096,LHL.119, LHL.120

MHR.804.BLEED.201.tif
MHR.804.BLEED.201.txt
MHR.805.BLEED.201.tif
MHR.805.BLEED.201.txt
MHR.6107.BLEED.201.tif
MHR.6107.BLEED.201.txt
MHR.6108.BLEED.201.tif
MHR.6108.BLEED.201.txt",,31.5.2017 (MH),innominata,"Gordon, 1989","ORTHOSCUTICELLA INNOMINATA Gordon, 1989",20/05/2015,SSBLEED18,Dennis Gordon,New Zealand,,20,0,1,,5,"Orui,Wairarapa",-41.071,176.089,,2015,Catenicellidae,Cheilostomatida
,202,SSBLEED18,MW134878	MW173731	MW159956,Cosciniopsis,15.2.2018 (RJSO),,,14.2.2018 (LT),,NHMO H1536,"LH: I am not sure if this is from Orui at all. Emily screwed up the location lists and I am trying to reconstruct what was the original data. BLEED 272 seems to be the sample sent as RNAlater.

Mali: 202: Bildet viser at det er C. vallata",,100% ethanol,,22.1.2018 (RJSO),"LHL.041, LHL.042
MHR.6149.BLEED.202.tif
MHR.6149.BLEED.202.txt
MHR.6150.BLEED.202.tif
MHR.6150.BLEED.202.txt

MHR.6167.BLEED.202.tif
MHR.6168.BLEED.202.tif",,24.5.2018 (RJSO),vallata,"(Uttley & Bullivant, 1972)","Cosciniopsis vallata (Uttley & Bullivant, 1972)",20/05/2015,SSBLEED18,Dennis Gordon,New Zealand,,20,0,1,,5,"Orui,Wairarapa",-41.071,176.089,,2015,Gigantoporidae,Cheilostomatida
,203,SSBLEED18,MW134836	MW173694	MW159957,Beania,15.2.2018 (RJSO),,,14.2.2018 (LT),,NHMO H1537,,,100% ethanol,,18.1.2018,"LHL.032, LHL.033, LHL.034",DPG,24.5.2018 (RJSO),plurispinosa,"Uttley & Bullivant, 1972","BEANIA PLURISPINOSA Uttley & Bullivant, 1972",20/05/2015,SSBLEED18,Dennis Gordon,New Zealand,,20,0,1,,5,"Orui,Wairarapa",-41.071,176.089,,2015,Beaniidae,Cheilostomatida
SRDY59,204,OS39,,Macropora,,,SRDY,,None,,WANTED BY AW: removed from BLEED collection,,100% ethanol,3.6.2014,,,Seabourne Rust,,grandis,"(Hutton, 1873)","Macropora grandis (Hutton, 1873)",29/01/2010,OS39,A. M. Smith,NZ,,29,30,,,1,Otago Shelf,-46.68,168.28,,2010,Macroporidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Hutton, 1873)","Macropora grandis (Hutton, 1873)",,,,,,,,,,,,,,,,,
SRDY40,205,OS20,,Calloporina,,,SRDY,,,,,,100% ethanol,3.6.2014,,,Seabourne Rust,,angustipora,"(Hincks, 1885)","Calloporina angustipora (Hincks, 1885)",26/01/2010,OS20,A. M. Smith,NZ,,26,100,,,1,Otago Shelf,-47.28,167.67,,2010,Microporellidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"(Hincks, 1885)","Calloporina diadema angustipora (Hincks, 1885)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(Hincks, 1885)","Calloporina angustipora (Hincks, 1885)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"(Hincks, 1885)","Calloporina diadema angustipora (Hincks, 1885)",,,,,,,,,,,,,,,,,
