Name_of_file,SEM_no,Bleached,BLEED_no,Date,COMMENTS,
MHR.1347.BLEED.948,MHR.1347,NO,948,,,
MHR.1348.BLEED.948,MHR.1348,NO,948,,,
MHR.1349.BLEED.947,MHR.1349,NO,947,,,
MHR.1350.BLEED.947,MHR.1350,NO,947,,,
MHR.1351.BLEED.949,MHR.1351,NO,949,SPECIES NR. 2,,
MHR.1352.BLEED.949,MHR.1352,NO,949,SPECIES NR. 2,,
MHR.1353.BLEED.946,MHR.1353,NO,946,,,
MHR.1354.BLEED.946,MHR.1354,NO,946,,,
MHR.1355.BLEED.945,MHR.1355,NO,945,,,
MHR.1356.BLEED.945,MHR.1356,NO,945,,,
MHR.1357.BLEED.944,MHR.1357,NO,944,,,
MHR.1358.BLEED.944,MHR.1358,NO,944,,,
MHR.1359.BLEED.942,MHR.1359,NO,942,,,
MHR.1360.BLEED.942,MHR.1360,NO,942,,,
MHR.1361.BLEED.940,MHR.1361,NO,940,,,
MHR.1362.BLEED.940,MHR.1362,NO,940,,,
MHR.1363.BLEED.938,MHR.1363,NO,938,,,
MHR.1364.BLEED.938,MHR.1364,NO,938,,,
MHR.1365.BLEED.937,MHR.1365,NO,937,,,
MHR.1366.BLEED.937,MHR.1366,NO,937,,,
MHR.1367.BLEED.936,MHR.1367,NO,936,,,
MHR.1368.BLEED.936,MHR.1368,NO,936,,,
MHR.1369.BLEED.933,MHR.1369,NO,933,,,
MHR.1370.BLEED.933,MHR.1370,NO,933,,,
MHR.1371.BLEED.932,MHR.1371,NO,932,,,
MHR.1372.BLEED.932,MHR.1372,NO,932,,,
MHR.1373.BLEED.931,MHR.1373,NO,931,,,
MHR.1374.BLEED.931,MHR.1374,NO,931,,,
MHR.1375.BLEED.937,MHR.1375,YES,937,,,
MHR.1376.BLEED.937,MHR.1376,YES,937,,,
MHR.1377.BLEED.940,MHR.1377,YES,940,,,
MHR.1378.BLEED.940,MHR.1378,YES,940,,,
MHR.1379.BLEED.950,MHR.1379,YES,950,,,
MHR.1380.BLEED.950,MHR.1380,YES,950,,,
MHR.1381.BLEED.949,MHR.1381,YES,949,PARASMITTINA,,
MHR.1382.BLEED.949,MHR.1382,YES,949,PARASMITTINA,,
MHR.1383.BLEED.949,MHR.1383,YES,949,OTHER SPECIES,,
MHR.1384.BLEED.949,MHR.1384,YES,949,OTHER SPECIES,,
MHR.1385.BLEED.933,MHR.1385,YES,933,,,
MHR.1386.BLEED.933,MHR.1386,YES,933,,,
MHR.1387.BLEED.951,MHR.1387,YES,951,,,
MHR.1388.BLEED.951,MHR.1388,YES,951,,,
MHR.1389.BLEED.944,MHR.1389,YES,944,,,
MHR.1390.BLEED.944,MHR.1390,YES,944,,,
MHR.1391.BLEED.936,MHR.1391,YES,936,,,
MHR.1392.BLEED.936,MHR.1392,YES,936,,,
MHR.1393.BLEED.948,MHR.1393,YES,948,,,
MHR.1394.BLEED.948,MHR.1394,YES,948,,,
MHR.1395.BLEED.946,MHR.1395,YES,946,,,
MHR.1396.BLEED.946,MHR.1396,YES,946,,,
MHR.1397.BLEED.947,MHR.1397,YES,947,,,
MHR.1398.BLEED.947,MHR.1398,YES,947,,,
MHR.1399.BLEED.938,MHR.1399,YES,938,,,
MHR.1400.BLEED.938,MHR.1400,YES,938,,,
MHR.1401.BLEED.932,MHR.1401,YES,932,,,
MHR.1402.BLEED.932,MHR.1402,YES,932,,,
MHR.1403.BLEED.931,MHR.1403,YES,931,,,
MHR.1404.BLEED.931,MHR.1404,YES,931,,,
MHR.1405.BLEED.942,MHR.1405,YES,942,,,
MHR.1406.BLEED.942,MHR.1406,YES,942,,,
MHR.1407.BLEED.945,MHR.1407,YES,945,,,
MHR.1408.BLEED.945,MHR.1408,YES,945,,,
MHR.1409.BLEED.977,MHR.1409,NO,977,,,
MHR.1410.BLEED.977,MHR.1410,NO,977,,,
MHR.1411.BLEED.958,MHR.1411,NO,958,,,
MHR.1412.BLEED.958,MHR.1412,NO,958,,,
MHR.1413.BLEED.980,MHR.1413,NO,980,,,
MHR.1414.BLEED.980,MHR.1414,NO,980,,,
MHR.1415.BLEED.912,MHR.1415,NO,912,,,
MHR.1416.BLEED.912,MHR.1416,NO,912,,,
MHR.1417.BLEED.987,MHR.1417,NO,987,,,
MHR.1418.BLEED.987,MHR.1418,NO,987,,,
MHR.1419.BLEED.930,MHR.1419,NO,930,,,
MHR.1420.BLEED.930,MHR.1420,NO,930,,,
MHR.1421.BLEED.926,MHR.1411,NO,926,,,
MHR.1422.BLEED.926,MHR.1422,NO,926,,,
MHR.1423.BLEED.911,MHR.1423,NO,911,,,
MHR.1424.BLEED.911,MHR.1424,NO,911,,,
MHR.1425.BLEED.908,MHR.1425,NO,908,,,
MHR.1426.BLEED.908,MHR.1426,NO,908,,,
MHR.1427.BLEED.898,MHR.1427,NO,898,,,
MHR.1428.BLEED.898,MHR.1428,NO,898,,,
MHR.1429.BLEED.956,MHR.1429,NO,956,,,
MHR.1430.BLEED.956,MHR.1430,NO,956,,,
MHR.1431.BLEED.898,MHR.1431,YES,898,,,
MHR.1432.BLEED.898,MHR.1432,YES,898,,,
MHR.1433.BLEED.980,MHR.1433,YES,980,,,
MHR.1434.BLEED.980,MHR.1434,YES,980,,,
MHR.1435.BLEED.911,MHR.1435,YES,911,,,
MHR.1436.BLEED.911,MHR.1436,YES,911,,,
MHR.1437.BLEED.987,MHR.1437,YES,987,,,
MHR.1438.BLEED.987,MHR.1438,YES,987,,,
MHR.1439.BLEED.926,MHR.1439,YES,926,,,
MHR.1440.BLEED.926,MHR.1440,YES,926,,,
MHR.1441.BLEED.958,MHR.1441,YES,958,,,
MHR.1442.BLEED.958,MHR.1442,YES,958,,,
MHR.1443.BLEED.908,MHR.1443,YES,908,,,
MHR.1444.BLEED.908,MHR.1444,YES,908,,,
MHR.1445.BLEED.977,MHR.1445,YES,977,,,
MHR.1446.BLEED.977,MHR.1446,YES,977,,,
MHR.1447.BLEED.912,MHR.1447,YES,912,,,
MHR.1448.BLEED.912,MHR.1448,YES,912,,,
MHR.1449.BLEED.956,MHR.1449,YES,956,,,
MHR.1450.BLEED.956,MHR.1450,YES,956,,,
MHR.1451.BLEED.1055,MHR.1451,NO,1055,,,
MHR.1452.BLEED.1055,MHR.1452,NO,1055,,,
MHR.1453.BLEED.1007,MHR.1453,NO,1007,,,
MHR.1454.BLEED.1007,MHR.1454,NO,1007,,,
MHR.1455.BLEED.1014,MHR.1455,NO,1014,,,
MHR.1456.BLEED.1014,MHR.1456,NO,1014,,,
MHR.1457.BLEED.894,MHR.1457,NO,894,,,
MHR.1458.BLEED.894,MHR.1458,NO,894,,,
MHR.1459.BLEED.954,MHR.1459,NO,954,,,
MHR.1460.BLEED.954,MHR.1460,NO,954,,,
MHR.1461.BLEED.841,MHR.1461,NO,841,,,
MHR.1462.BLEED.841,MHR.1462,NO,841,,,
MHR.1463.BLEED.1019,MHR.1463,NO,1019,,,
MHR.1464.BLEED.1019,MHR.1464,NO,1019,,,
MHR.1465.BLEED.1018,MHR.1465,NO,1018,,,
MHR.1466.BLEED.1018,MHR.1466,NO,1018,,,
MHR.1467.BLEED.1015,MHR.1467,NO,1015,,,
MHR.1468.BLEED.1015,MHR.1468,NO,1015,,,
MHR.1469.BLEED.1067,MHR.1469,NO,1067,,,
MHR.1470.BLEED.1067,MHR.1470,NO,1067,THREE SPECIES (ONE GROWS ON THE NON SMITTOIDEA ONE),,
MHR.1471.BLEED.1075,MHR.1471,NO,1075,THREE SPECIES (ONE GROWS ON THE NON SMITTOIDEA ONE),,
MHR.1472.BLEED.1075,MHR.1472,NO,1075,,,
MHR.1473.BLEED.1074,MHR.1473,NO,1074,,,
MHR.1474.BLEED.1074,MHR.1474,NO,1074,,,
MHR.1475.BLEED.1039,MHR.1475,NO,1039,,,
MHR.1476.BLEED.1039,MHR.1476,NO,1039,,,
MHR.1477.BLEED.1073,MHR.1477,NO,1073,,,
MHR.1478.BLEED.1073,MHR.1478,NO,1073,,,
MHR.1479.BLEED.817,MHR.1479,NO,817,,,
MHR.1480.BLEED.817,MHR.1480,NO,817,,,
MHR.1481.BLEED.1016,MHR.1481,NO,1016,,,
MHR.1482.BLEED.1016,MHR.1482,NO,1016,,,
MHR.1483.BLEED.841,MHR.1483,YES,841,,,
MHR.1484.BLEED.841,MHR.1484,YES,841,,,
MHR.1485.BLEED.1073,MHR.1485,YES,1073,,,
MHR.1486.BLEED.1073,MHR.1486,YES,1073,,,
MHR.1487.BLEED.1018,MHR.1487,YES,1018,,,
MHR.1488.BLEED.1018,MHR.1488,YES,1018,,,
MHR.1489.BLEED.1016,MHR.1489,YES,1016,,,
MHR.1490.BLEED.1016,MHR.1490,YES,1016,,,
MHR.1491.BLEED.1074,MHR.1491,YES,1074,,,
MHR.1492.BLEED.1074,MHR.1492,YES,1074,,,
MHR.1493.BLEED.1075,MHR.1493,YES,1075,,,
MHR.1494.BLEED.1075,MHR.1494,YES,1075,,,
MHR.1495.BLEED.817,MHR.1495,YES,817,,,
MHR.1496.BLEED.817,MHR.1496,YES,817,,,
MHR.1497.BLEED.1007,MHR.1497,YES,1007,,,
MHR.1498.BLEED.1007,MHR.1498,YES,1007,,,
MHR.1499.BLEED.1014,MHR.1499,YES,1014,,,
MHR.1500.BLEED.1014,MHR.1500,YES,1014,,,
MHR.1501.BLEED.894,MHR.1501,YES,894,,,
MHR.1502.BLEED.894,MHR.1502,YES,894,,,
MHR.1503.BLEED.1067,MHR.1503,YES,1067,,,
MHR.1504.BLEED.1067,MHR.1504,YES,1067,,,
MHR.1505.BLEED.1055,MHR.1505,YES,1055,ANASCAN ON THE OTHER SIDE OF THE SUBSTRATE (10% OF SURFACE AREA),,
MHR.1506.BLEED.1055,MHR.1506,YES,1055,ANASCAN ON THE OTHER SIDE OF THE SUBSTRATE (10% OF SURFACE AREA),,
MHR.1507.BLEED.1015,MHR.1507,YES,1015,,,
MHR.1508.BLEED.1015,MHR.1508,YES,1015,,,
MHR.1509.BLEED.1000,MHR.1509,NO,1000,,,
MHR.1510.BLEED.1000,MHR.1510,NO,1000,,,
MHR.1511.BLEED.918,MHR.1511,NO,918,,,
MHR.1512.BLEED.918,MHR.1512,NO,918,,,
MHR.1513.BLEED.902,MHR.1513,NO,902,,,
MHR.1514.BLEED.902,MHR.1514,NO,902,,,
MHR.1515.BLEED.910,MHR.1515,NO,910,,,
MHR.1516.BLEED.910,MHR.1516,NO,910,,,
MHR.1517.BLEED.897,MHR.1517,NO,897,,,
MHR.1518.BLEED.897,MHR.1518,NO,897,,,
MHR.1519.BLEED.914,MHR.1519,NO,914,,,
MHR.1520.BLEED.914,MHR.1520,NO,914,,,
MHR.1521.BLEED.922,MHR.1521,NO,922,,,
MHR.1522.BLEED.922,MHR.1522,NO,922,,,
MHR.1523.BLEED.971,MHR.1523,NO,971,,,
MHR.1524.BLEED.971,MHR.1524,NO,971,,,
MHR.1525.BLEED.916,MHR.1525,NO,916,,,
MHR.1526.BLEED.916,MHR.1526,NO,916,,,
MHR.1527.BLEED.960,MHR.1527,NO,960,,,
MHR.1528.BLEED.960,MHR.1528,NO,960,,,
MHR.1529.BLEED.972,MHR.1529,NO,972,GROWS ION TOP OF CELLEPORID LIKE BRYOZOA. IDENTIFIED AS MICROPORELLA BUT MORE CALLOPRINA LIKE. SPECIES 1,,
MHR.1530.BLEED.972,MHR.1530,NO,972,GROWS ION TOP OF CELLEPORID LIKE BRYOZOA. IDENTIFIED AS MICROPORELLA BUT MORE CALLOPRINA LIKE. SPECIES 1,,
MHR.1531.BLEED.892,MHR.1531,NO,892,,,
MHR.1532.BLEED.892,MHR.1532,NO,892,,,
MHR.1533.BLEED.1039,MHR.1533,YES,1039,,,
MHR.1534.BLEED.1039,MHR.1534,YES,1039,,,
MHR.1535.BLEED.954,MHR.1535,YES,954,PROBABLY NOT MICROPORELLA. CALLOPORINA LIKE,,
MHR.1536.BLEED.954,MHR.1536,YES,954,PROBABLY NOT MICROPORELLA. CALLOPORINA LIKE,,
MHR.1537.BLEED.972,MHR.1537,NO,972,SPECIES NR. 2,,
MHR.1538.BLEED.972,MHR.1538,NO,972,SPECIES NR. 2,,
MHR.1539.BLEED.895,MHR.1539,NO,895,,,
MHR.1540.BLEED.895,MHR.1540,NO,895,,,
MHR.1541.BLEED.900,MHR.1541,NO,900,GROWS ON TOP OF A COLONY OF THE SAME SPECIES,,
MHR.1542.BLEED.900,MHR.1542,NO,900,GROWS ON TOP OF A COLONY OF THE SAME SPECIES,,
MHR.1543.BLEED.906,MHR.1543,NO,906,,,
MHR.1544.BLEED.906,MHR.1544,NO,906,,,
MHR.1545.BLEED.952,MHR.1545,NO,952,ALSO CALLOPORINA LIKE,,
MHR.1546.BLEED.952,MHR.1546,NO,952,ALSO CALLOPORINA LIKE,,
MHR.1547.BLEED.972,MHR.1547,YES,972,,,
MHR.1548.BLEED.972,MHR.1548,YES,972,,,
MHR.1549.BLEED.972,MHR.1549,YES,972,,,
MHR.1550.BLEED.972,MHR.1550,YES,972,,,
MHR.1551.BLEED.902,MHR.1551,YES,902,,,
MHR.1552.BLEED.902,MHR.1552,YES,902,,,
MHR.1553.BLEED.960,MHR.1553,YES,960,,,
MHR.1554.BLEED.960,MHR.1554,YES,960,,,
MHR.1555.BLEED.922,MHR.1555,YES,922,,,
MHR.1556.BLEED.922,MHR.1556,YES,922,,,
MHR.1557.BLEED.906,MHR.1557,YES,906,,,
MHR.1558.BLEED.906,MHR.1558,YES,906,,,
MHR.1559.BLEED.895,MHR.1559,YES,895,,,
MHR.1560.BLEED.895,MHR.1560,YES,895,,,
MHR.1561.BLEED.900,MHR.1561,YES,900,,,
MHR.1562.BLEED.900,MHR.1562,YES,900,,,
MHR.1563.BLEED.916,MHR.1563,YES,916,,,
MHR.1564.BLEED.916,MHR.1564,YES,916,,,
MHR.1565.BLEED.910,MHR.1565,YES,910,,,
MHR.1566.BLEED.910,MHR.1566,YES,910,,,
MHR.1567.BLEED.952,MHR.1567,YES,952,,,
MHR.1568.BLEED.952,MHR.1568,YES,952,,,
MHR.1569.BLEED.1019,MHR.1569,YES,1019,,,
MHR.1570.BLEED.1019,MHR.1570,YES,1019,,,
MHR.1571.BLEED.892,MHR.1571,YES,892,,,
MHR.1572.BLEED.892,MHR.1572,YES,892,,,
MHR.1573.BLEED.897,MHR.1573,YES,897,,,
MHR.1574.BLEED.897,MHR.1574,YES,897,,,
MHR.1575.BLEED.971,MHR.1575,YES,971,,,
MHR.1576.BLEED.971,MHR.1576,YES,971,,,
MHR.1577.BLEED.918,MHR.1577,YES,918,,,
MHR.1578.BLEED.918,MHR.1578,YES,918,,,
MHR.1579.BLEED.914,MHR.1579,YES,914,,,
MHR.1580.BLEED.914,MHR.1580,YES,914,,,
MHR.1581.BLEED.1000,MHR.1581,YES,1000,,,
MHR.1582.BLEED.1000,MHR.1582,YES,1000,,,
MHR.1583.BLEED.860,MHR.1583,NO,860,,,
MHR.1584.BLEED.860,MHR.1584,NO,860,,,
MHR.1585.BLEED.1061,MHR.1585,NO,1061,,,
MHR.1586.BLEED.1061,MHR.1586,NO,1061,,,
MHR.1587.BLEED.854,MHR.1587,NO,854,,,
MHR.1588.BLEED.854,MHR.1588,NO,854,,,
MHR.1589.BLEED.924,MHR.1589,NO,924,,,
MHR.1590.BLEED.924,MHR.1590,NO,924,,,
MHR.1591.BLEED.959,MHR.1591,NO,959,GROWS ON TOP OF AT LEAST ONE OTHER CHEILO,,
MHR.1592.BLEED.959,MHR.1592,NO,959,GROWS ON TOP OF AT LEAST ONE OTHER CHEILO,,
MHR.1593.BLEED.1047,MHR.1593,NO,1047,,,
MHR.1594.BLEED.1047,MHR.1594,NO,1047,,,
MHR.1595.BLEED.1047,MHR.1595,YES,1047,,,
MHR.1596.BLEED.1047,MHR.1596,YES,1047,,,
MHR.1597.BLEED.924,MHR.1597,YES,924,UNSURE IF ID IS CORRECT. HAS A SINUS,,
MHR.1598.BLEED.924,MHR.1598,YES,924,,,
MHR.1599.BLEED.959,MHR.1599,YES,959,,,
MHR.1600.BLEED.959,MHR.1600,YES,959,,,
MHR.1601.BLEED.854,MHR.1601,YES,854,,,
MHR.1602.BLEED.854,MHR.1602,YES,854,,,
MHR.1603.BLEED.1061,MHR.1603,YES,1061,,,
MHR.1604.BLEED.1061,MHR.1604,YES,1061,,,
MHR.1605.BLEED.965,MHR.1605,NO,965,,,
MHR.1606.BLEED.965,MHR.1606,NO,965,,,
MHR.1607.BLEED.974,MHR.1607,NO,974,,,
MHR.1608.BLEED.974,MHR.1608,NO,974,,,
MHR.1609.BLEED.1046,MHR.1609,NO,1046,,,
MHR.1610.BLEED.1046,MHR.1610,NO,1046,,,
MHR.1611.BLEED.1052,MHR.1611,NO,1052,,,
MHR.1612.BLEED.1052,MHR.1612,NO,1052,,,
MHR.1613.BLEED.1054,MHR.1613,NO,1054,CALLOPORINA LIKE,,
MHR.1614.BLEED.1054,MHR.1614,NO,1054,CALLOPORINA LIKE,,
MHR.1615.BLEED.962,MHR.1615,NO,962,,,
MHR.1616.BLEED.962,MHR.1616,NO,962,,,
MHR.1617.BLEED.852,MHR.1617,NO,852,,,
MHR.1618.BLEED.852,MHR.1618,NO,852,,,
MHR.1619.BLEED.1056,MHR.1619,NO,1056,small colony possibly scraped as well. Unsure if same species,,
MHR.1620.BLEED.1056,MHR.1620,NO,1056,small colony possibly scraped as well. Unsure if same species,,
MHR.1621.BLEED.888,MHR.1621,NO,888,,,
MHR.1622.BLEED.888,MHR.1622,NO,888,,,
MHR.1623.BLEED.847,MHR.1623,NO,847,,,
MHR.1624.BLEED.847,MHR.1624,NO,847,,,
MHR.1625.BLEED.1056,MHR.1625,NO,1056,species NR. 2,,
MHR.1626.BLEED.1056,MHR.1626,NO,1056,species NR. 2,,
MHR.1627.BLEED.1052,MHR.1627,YES,1052,,,
MHR.1628.BLEED.1052,MHR.1628,YES,1052,,,
MHR.1629.BLEED.852,MHR.1629,YES,852,,,
MHR.1630.BLEED.852,MHR.1630,YES,852,,,
MHR.1631.BLEED.962,MHR.1631,YES,962,GROWS ON TOP OF ANOTHER CHEILO (CAN BE SEEN IN SEM),,
MHR.1632.BLEED.962,MHR.1632,YES,962,GROWS ON TOP OF ANOTHER CHEILO (CAN BE SEEN IN SEM),,
MHR.1633.BLEED.888,MHR.1633,YES,888,,,
MHR.1634.BLEED.888,MHR.1634,YES,888,,,
MHR.1635.BLEED.965,MHR.1635,YES,965,,,
MHR.1636.BLEED.965,MHR.1636,YES,965,,,
MHR.1637.BLEED.847,MHR.1637,YES,847,,,
MHR.1638.BLEED.847,MHR.1638,YES,847,,,
MHR.1639.BLEED.1046,MHR.1639,YES,1046,,,
MHR.1640.BLEED.1046,MHR.1640,YES,1046,,,
MHR.1641.BLEED.1056,MHR.1641,YES,1056,,,
MHR.1642.BLEED.1056,MHR.1642,YES,1056,,,
MHR.1643.BLEED.974,MHR.1643,YES,974,probably calloporina,,
MHR.1644.BLEED.974,MHR.1644,YES,974,probably calloporina,,
MHR.1645.BLEED.1054,MHR.1645,YES,1054,probably calloporina,,
MHR.1646.BLEED.1054,MHR.1646,YES,1054,probably calloporina,,
MHR.1647.BLEED.1080,MHR.1647,NO,1080,AETEA GROWS ON IT + ANOTHER ERECT CHEILOSTOME IN SEM SAMPLE,,
MHR.1648.BLEED.1080,MHR.1648,NO,1080,AETEA GROWS ON IT + ANOTHER ERECT CHEILOSTOME IN SEM SAMPLE,,
MHR.1649.BLEED.1037,MHR.1649,NO,1037,OTHER CHEILOSTOMES PRESENT (POSSIBLY AETEA AND OTHER ERECT SPECIES),,
MHR.1650.BLEED.1037,MHR.1650,NO,1037,OTHER CHEILOSTOMES PRESENT (POSSIBLY AETEA AND OTHER ERECT SPECIES),,
MHR.1651.BLEED.1037,MHR.1651,YES/DIDNT HAVE TO,1037,OTHER CHEILOSTOMES PRESENT (POSSIBLY AETEA AND OTHER ERECT SPECIES),,
MHR.1652.BLEED.1037,MHR.1652,YES/DIDNT HAVE TO,1037,OTHER CHEILOSTOMES PRESENT (POSSIBLY AETEA AND OTHER ERECT SPECIES),,
MHR.1653.BLEED.837,MHR.1653,NO,837,,,
MHR.1654.BLEED.837,MHR.1654,NO,837,,,
MHR.1655.BLEED.864,MHR.1655,NO,864,,,
MHR.1656.BLEED.864,MHR.1656,NO,864,,,
MHR.1657.BLEED.1082,MHR.1657,NO,1082,AN ERECT BRYOZOA NEXT TO THE COLONY,,
MHR.1658.BLEED.1082,MHR.1658,NO,1082,AN ERECT BRYOZOA NEXT TO THE COLONY,,
MHR.1659.BLEED.1087,MHR.1659,NO,1087,,,
MHR.1660.BLEED.1087,MHR.1660,NO,1087,,,
MHR.1661.BLEED.1004,MHR.1661,NO,1004,,,
MHR.1662.BLEED.1004,MHR.1662,NO,1004,,,
MHR.1663.BLEED.843,MHR.1663,NO,843,,,
MHR.1664.BLEED.843,MHR.1664,NO,843,,,
MHR.1665.BLEED.1020,MHR.1665,NO,1020,,,
MHR.1666.BLEED.1020,MHR.1666,NO,1020,,,
MHR.1667.BLEED.626,MHR.1667,YES,626,,,
MHR.1668.BLEED.626,MHR.1668,YES,626,,,
MHR.1669.BLEED.864,MHR.1669,YES,864,,,
MHR.1670.BLEED.864,MHR.1670,YES,864,,,
MHR.1671.BLEED.1082,MHR.1671,YES,1082,,,
MHR.1672.BLEED.1082,MHR.1672,YES,1082,,,
MHR.1673.BLEED.843,MHR.1673,YES,843,,,
MHR.1674.BLEED.843,MHR.1674,YES,843,,,
MHR.1675.BLEED.1080,MHR.1675,YES,1080,,,
MHR.1676.BLEED.1080,MHR.1676,YES,1080,,,
MHR.1677.BLEED.1020,MHR.1677,YES,1020,,,
MHR.1678.BLEED.1020,MHR.1678,YES,1020,,,
MHR.1679.BLEED.1024,MHR.1679,NO,1024,,,
MHR.1680.BLEED.1024,MHR.1680,NO,1024,,,
MHR.1681.BLEED.1081,MHR.1681,NO,1081,,,
MHR.1682.BLEED.1081,MHR.1682,NO,1081,,,
MHR.1683.BLEED.1008,MHR.1683,NO,1008,,,
MHR.1684.BLEED.1008,MHR.1684,NO,1008,,,
MHR.1685.BLEED.1011,MHR.1685,NO,1011,,,
MHR.1686.BLEED.1011,MHR.1686,NO,1011,,,
MHR.1687.BLEED.1026,MHR.1687,NO,1026,,,
MHR.1688.BLEED.1026,MHR.1688,NO,1026,,,
MHR.1689.BLEED.1004,MHR.1689,YES,1004,,,
MHR.1690.BLEED.1004,MHR.1690,YES,1004,,,
MHR.1691.BLEED.1087,MHR.1691,YES,1087,,,
MHR.1692.BLEED.1087,MHR.1692,YES,1087,,,
MHR.1693.BLEED.1024,MHR.1693,YES,1024,,,
MHR.1694.BLEED.1024,MHR.1694,YES,1024,,,
MHR.1695.BLEED.1011,MHR.1695,YES,1011,,,
MHR.1696.BLEED.1011,MHR.1696,YES,1011,,,
MHR.1697.BLEED.1008,MHR.1697,YES,1008,,,
MHR.1698.BLEED.1008,MHR.1698,YES,1008,,,
MHR.1699.BLEED.1026,MHR.1699,YES,1026,,,
MHR.1700.BLEED.1026,MHR.1700,YES,1026,,,
MHR.1701.BLEED.1081,MHR.1701,YES,1081,,,
MHR.1702.BLEED.1081,MHR.1702,YES,1081,,,
MHR.1703.BLEED.1077,MHR.1703,NO,1077,,,
MHR.1704.BLEED.1077,MHR.1704,NO,1077,,,
MHR.1705.BLEED.1088,MHR.1705,NO,1088,,,
MHR.1706.BLEED.1088,MHR.1706,NO,1088,,,
MHR.1707.BLEED.1065,MHR.1707,NO,1065,,,
MHR.1708.BLEED.1065,MHR.1708,NO,1065,,,
MHR.1709.BLEED.1059,MHR.1709,NO,1059,,,
MHR.1710.BLEED.1059,MHR.1710,NO,1059,,,
MHR.1711.BLEED.1062,MHR.1711,NO,1062,,,
MHR.1712.BLEED.1062,MHR.1712,NO,1062,,,
MHR.1713.BLEED.1041,MHR.1713,NO,1041,,,
MHR.1714.BLEED.1041,MHR.1714,NO,1041,,,
MHR.1715.BLEED.1076,MHR.1715,NO,1076,,,
MHR.1716.BLEED.1076,MHR.1716,NO,1076,,,
MHR.1717.BLEED.1088,MHR.1717,YES,1088,,,
MHR.1718.BLEED.1088,MHR.1718,YES,1088,,,
MHR.1719.BLEED.1041,MHR.1719,YES,1041,,,
MHR.1720.BLEED.1041,MHR.1720,YES,1041,,,
MHR.1721.BLEED.1076,MHR.1721,YES,1076,,,
MHR.1722.BLEED.1076,MHR.1722,YES,1076,,,
MHR.1723.BLEED.1059,MHR.1723,YES,1059,,,
MHR.1724.BLEED.1059,MHR.1724,YES,1059,,,
MHR.1725.BLEED.1062,MHR.1725,YES,1062,,,
MHR.1726.BLEED.1062,MHR.1726,YES,1062,,,
MHR.1727.BLEED.1065,MHR.1727,YES,1065,,,
MHR.1728.BLEED.1065,MHR.1728,YES,1065,,,
MHR.1729.BLEED.1077,MHR.1729,YES,1077,,,
MHR.1730.BLEED.1077,MHR.1730,YES,1077,,,
MHR.1731.BLEED.1023,MHR.1731,NO,1023,,,
MHR.1732.BLEED.1023,MHR.1732,NO,1023,,,
MHR.1733.BLEED.1042,MHR.1733,NO,1042,,,
MHR.1734.BLEED.1042,MHR.1734,NO,1042,,,
MHR.1735.BLEED.1066,MHR.1735,NO,1066,,,
MHR.1736.BLEED.1066,MHR.1736,NO,1066,,,
MHR.1737.BLEED.1057,MHR.1737,NO,1057,ANOTHER CHEILO ON THE OTHER SIDE AND GROWING TO THE EDGE OF MAIN COLONY (< 10%),,
MHR.1738.BLEED.1057,MHR.1738,NO,1057,ANOTHER CHEILO ON THE OTHER SIDE AND GROWING TO THE EDGE OF MAIN COLONY (< 10%),,
MHR.1739.BLEED.1030,MHR.1739,NO,1030,,,
MHR.1740.BLEED.1030,MHR.1740,NO,1030,,,
MHR.1741.BLEED.033,MHR.1741,NO,33,THREE OTHER SPECIES PRESENT (5-10%). LOOKS LIKE NEITHER OF THEM HAS BEEN SCRAPED,,
MHR.1742.BLEED.033,MHR.1742,NO,33,THREE OTHER SPECIES PRESENT (5-10%). LOOKS LIKE NEITHER OF THEM HAS BEEN SCRAPED,,
MHR.1743.BLEED.975,MHR.1743,NO,975,OTHER SPECIES GROWING NEAR MICROPORELLA (5%) + crisia,,
MHR.1744.BLEED.975,MHR.1744,NO,975,OTHER SPECIES GROWING NEAR MICROPORELLA (5%) + crisia,,
MHR.1745.BLEED.849,MHR.1745,NO,849,,,
MHR.1746.BLEED.849,MHR.1746,NO,849,,,
MHR.1747.BLEED.849,MHR.1747,YES,849,,,
MHR.1748.BLEED.849,MHR.1748,YES,849,,,
MHR.1749.BLEED.975,MHR.1749,YES,975,,,
MHR.1750.BLEED.975,MHR.1750,YES,975,,,
MHR.1751.BLEED.1023,MHR.1751,YES,1023,,,
MHR.1752.BLEED.1023,MHR.1752,YES,1023,,,
MHR.1753.BLEED.1057,MHR.1753,YES,1057,,,
MHR.1754.BLEED.1057,MHR.1754,YES,1057,,,
MHR.1755.BLEED.1042,MHR.1755,YES,1042,,,
MHR.1756.BLEED.1042,MHR.1756,YES,1042,,,
MHR.1757.BLEED.1030,MHR.1757,YES,1030,,,
MHR.1758.BLEED.1030,MHR.1758,YES,1030,,,
MHR.1759.BLEED.1066,MHR.1759,YES,1066,,,
MHR.1760.BLEED.1066,MHR.1760,YES,1066,,,
MHR.1761.BLEED.033,MHR.1761,YES,33,,,
MHR.1762.BLEED.033,MHR.1762,YES,33,,,
MHR.1763.BLEED.834,MHR.1763,NO,834,,,
MHR.1764.BLEED.834,MHR.1764,NO,834,,,
MHR.1765.BLEED.840,MHR.1765,NO,840,,,
MHR.1766.BLEED.840,MHR.1766,NO,840,,,
MHR.1769.BLEED.836,MHR.1769,NO,836,,,
